xcoord,ycoord,longitude,latitude
-376776.64804110175,1470537.3290745923,-165.62899612670148,76.09439385052652
-378112.4700863186,1467121.21807992,-165.5479949083135,76.12140054403686
-379448.2921315356,1463705.1070852473,-165.4666749930919,76.14838113807006
-380784.11417675245,1460288.996090575,-165.38503482603963,76.17533546224614
-382567.2490976567,1456538.8970929177,-165.28338714497903,76.20416466184518
-384350.3840185609,1452788.7980952603,-165.18131007230508,76.23295234461625
-386133.5189394651,1449038.699097603,-165.07880153354571,76.26169822549681
-387916.6538603693,1445288.600099946,-164.97585944770367,76.29040201749616
-389699.7887812735,1441538.5011022887,-164.8724817273381,76.31906343168404
-392857.9325626337,1437902.702023681,-164.71882453642775,76.34339622539814
-396016.07634399366,1434266.902945073,-164.56461487818092,76.36763252328637
-399174.22012535384,1430631.1038664652,-164.40985201392922,76.39177178235579
-402332.363906714,1426995.3047878572,-164.25453523198505,76.41581345798105
-405490.507688074,1423359.5057092493,-164.09866384812025,76.439757003929
-408648.6514694341,1419723.7066306411,-163.94223720604808,76.46360187238415
-411806.79525079427,1416087.9075520332,-163.78525467790783,76.4873475139743
-414964.93903215433,1412452.1084734253,-163.627715664752,76.51099337779752
-418123.08281351445,1408816.309394817,-163.46961959703603,76.53453891144922
-421281.22659487446,1405180.5103162094,-163.31096593511035,76.55798356105028
-424439.3703762346,1401544.7112376017,-163.1517541697149,76.5813267712756
-427804.0086309791,1398142.6509742076,-162.98692509960313,76.60198900743885
-431168.6468857237,1394740.5907108139,-162.8215837213814,76.62254182367863
-434533.28514046816,1391338.53044742,-162.6557304094814,76.6429846918989
-437897.92339521274,1387936.4701840263,-162.48936557497356,76.66331708363245
-441262.5616499572,1384534.409920632,-162.3224896659684,76.68353847008166
-444627.1999047017,1381132.3496572385,-162.15510316801647,76.70364832216033
-447991.83815944614,1377730.2893938443,-161.98720660450607,76.72364611053565
-451356.4764141907,1374328.2291304509,-161.81880053705885,76.74353130567118
-454721.1146689352,1370926.1688670567,-161.64988556592317,76.76330337787033
-458085.7529236798,1367524.108603663,-161.4804623303649,76.78296179732038
-461450.3911784242,1364122.0483402691,-161.3105315090557,76.80250603413721
-464815.0294331688,1360719.9880768755,-161.14009382045816,76.82193555841077
-468179.6676879133,1357317.9278134815,-160.96915002320844,76.84124984025075
-471544.30594265775,1353915.8675500876,-160.797700916495,76.86044834983356
-474908.94419740234,1350513.8072866937,-160.62574734043443,76.87953055744916
-478273.58245214686,1347111.7470232996,-160.453290176444,76.89849593354906
-481638.22070689127,1343709.686759906,-160.28033034760946,76.91734394879475
-485002.8589616359,1340307.6264965122,-160.10686881904996,76.93607407410668
-488512.67845324706,1336909.056455321,-159.92746550499007,76.95420312910218
-492022.49794485816,1333510.486414129,-159.747560469768,76.97220560875925
-495532.31743646925,1330111.9163729372,-159.5671551680552,76.99008096659978
-499042.1369280804,1326713.3463317456,-159.386251102301,77.00782865703475
-502551.9564196916,1323314.776290554,-159.20484982305047,77.025448135424
-506061.77591130266,1319916.2062493623,-159.0229529292548,77.04293885813658
