xcoord,ycoord,longitude,latitude
-585194.6295270104,2591163.0142578315,-167.27368129088447,65.89862496621261
-580489.7661545163,2591482.439674779,-167.3742115498133,65.90498063384429
-575784.9027820221,2591801.865091725,-167.4747960838832,65.91126431401675
-571080.039409528,2592121.2905086726,-167.57543431658033,65.91747594371942
-566375.176037034,2592440.7159256195,-167.67612566944968,65.92361546060101
-561670.3126645399,2592760.1413425663,-167.7768695621131,65.9296828029721
-556965.4492920458,2593079.5667595128,-167.87766541228703,65.93567790980796
-552260.9082325374,2593474.0084879524,-167.97884343084087,65.94095307466144
-547556.3671730292,2593868.450216391,-168.08006679277844,65.94615538402718
-542851.8261135209,2594262.891944831,-168.18133489629778,65.95128478509412
-538147.2850540126,2594657.333673269,-168.28264713794684,65.95634122574742
-533442.7439945043,2595051.775401708,-168.38400291264324,65.96132465457102
-528738.202934996,2595446.2171301474,-168.4854016136948,65.96623502084967
-524033.66187548765,2595840.6588585866,-168.58684263281964,65.97107227457145
-519329.1208159794,2596235.100587025,-168.68832536016708,65.97583636642997
-514624.5797564711,2596629.5423154645,-168.78984918433792,65.98052724782652
-509920.0386969628,2597023.984043904,-168.89141349240546,65.98514487087235
-505215.4976374545,2597418.4257723424,-168.99301766993642,65.98968918839076
-500510.95657794614,2597812.867500781,-169.09466110101204,65.9941601539193
-495872.63986645034,2597881.063050055,-169.19360913496791,66.00127493211
-491234.3231549544,2597949.2585993283,-169.2926172458242,66.0083202699146
-486596.0064434584,2598017.4541486017,-169.391684896491,66.01529609891377
-481957.68973196245,2598085.649697874,-169.4908115478082,66.02220235128557
-477319.37302046653,2598153.845247148,-169.58999665856055,66.02903895980843
-472681.0563089706,2598222.040796421,-169.6892396854928,66.03580585786389
